ResourceID,AdminArea,AdminAreaType,Timestamp,ID
MLO100279,River Thames,Borough,00 00 00 00 00 13 D9 8A ,53079
MLO10028,River Thames,Borough,00 00 00 00 00 13 C2 6B ,47183
MLO10028,Wandsworth,Borough,00 00 00 00 00 13 C2 6C ,47184
MLO100280,Hounslow,Borough,00 00 00 00 00 13 09 85 ,34
MLO100280,River Thames,Borough,00 00 00 00 00 13 09 86 ,35
MLO100281,Southwark,Borough,00 00 00 00 00 13 20 BB ,5953
MLO100282,Southwark,Borough,00 00 00 00 00 13 37 FF ,11886
MLO100283,River Thames,Borough,00 00 00 00 00 13 4F 07 ,17758
MLO100283,Tower Hamlets,Borough,00 00 00 00 00 13 4F 08 ,17759
MLO100284,City of Westminster,Borough,00 00 00 00 00 13 66 22 ,23650
MLO100285,Richmond upon Thames,Borough,00 00 00 00 00 13 7D 53 ,29564
MLO100286,Havering,Borough,00 00 00 00 00 13 94 3F ,35409
MLO100288,Richmond upon Thames,Borough,00 00 00 00 00 13 C2 6D ,47185
MLO100288,River Thames,Borough,00 00 00 00 00 13 C2 6E ,47186
MLO100289,Hounslow,Borough,00 00 00 00 00 13 D9 8B ,53080
MLO100289,River Thames,Borough,00 00 00 00 00 13 D9 8C ,53081
MLO100290,Richmond upon Thames,Borough,00 00 00 00 00 13 09 87 ,36
MLO100290,River Thames,Borough,00 00 00 00 00 13 09 88 ,37
MLO100291,Richmond upon Thames,Borough,00 00 00 00 00 13 20 BC ,5954
MLO100291,River Thames,Borough,00 00 00 00 00 13 20 BD ,5955
MLO100292,Richmond upon Thames,Borough,00 00 00 00 00 13 38 01 ,11887
MLO100292,River Thames,Borough,00 00 00 00 00 13 38 02 ,11888
MLO100293,Richmond upon Thames,Borough,00 00 00 00 00 13 4F 09 ,17760
MLO100293,River Thames,Borough,00 00 00 00 00 13 4F 0A ,17761
MLO100294,Hounslow,Borough,00 00 00 00 00 13 66 23 ,23651
MLO100294,River Thames,Borough,00 00 00 00 00 13 66 24 ,23652
MLO100295,Havering,Borough,00 00 00 00 00 13 7D 54 ,29565
MLO100296,Tower Hamlets,Borough,00 00 00 00 00 13 94 40 ,35410
MLO100297,Southwark,Borough,00 00 00 00 00 13 AB 53 ,41294
MLO100298,Richmond upon Thames,Borough,00 00 00 00 00 13 C2 6F ,47187
MLO100299,Hammersmith and Fulham,Borough,00 00 00 00 00 13 D9 8D ,53082
MLO100299,River Thames,Borough,00 00 00 00 00 13 D9 8E ,53083
MLO10030,River Thames,Borough,00 00 00 00 00 13 09 89 ,38
MLO10030,Wandsworth,Borough,00 00 00 00 00 13 09 8A ,39
MLO100300,Hammersmith and Fulham,Borough,00 00 00 00 00 13 09 8B ,40
MLO100300,River Thames,Borough,00 00 00 00 00 13 09 8C ,41
MLO100301,Hammersmith and Fulham,Borough,00 00 00 00 00 13 20 BE ,5956
MLO100301,River Thames,Borough,00 00 00 00 00 13 20 BF ,5957
MLO100302,River Thames,Borough,00 00 00 00 00 13 38 03 ,11889
MLO100302,Tower Hamlets,Borough,00 00 00 00 00 13 38 04 ,11890
MLO100303,River Thames,Borough,00 00 00 00 00 13 4F 0B ,17762
MLO100303,Tower Hamlets,Borough,00 00 00 00 00 13 4F 0C ,17763
MLO100304,River Thames,Borough,00 00 00 00 00 13 66 25 ,23653
MLO100304,Tower Hamlets,Borough,00 00 00 00 00 13 66 26 ,23654
MLO100305,River Thames,Borough,00 00 00 00 00 13 7D 55 ,29566
MLO100305,Tower Hamlets,Borough,00 00 00 00 00 13 7D 56 ,29567
MLO100306,River Thames,Borough,00 00 00 00 00 13 94 41 ,35411
MLO100306,Tower Hamlets,Borough,00 00 00 00 00 13 94 42 ,35412
MLO100307,River Thames,Borough,00 00 00 00 00 13 AB 54 ,41295
MLO100307,Tower Hamlets,Borough,00 00 00 00 00 13 AB 55 ,41296
MLO100308,River Thames,Borough,00 00 00 00 00 13 C2 70 ,47188
MLO100308,Tower Hamlets,Borough,00 00 00 00 00 13 C2 71 ,47189
MLO100309,River Thames,Borough,00 00 00 00 00 13 D9 8F ,53084
MLO100309,Tower Hamlets,Borough,00 00 00 00 00 13 D9 90 ,53085
MLO10031,River Thames,Borough,00 00 00 00 00 13 20 C0 ,5958
MLO10031,Wandsworth,Borough,00 00 00 00 00 13 20 C1 ,5959
MLO100310,River Thames,Borough,00 00 00 00 00 13 09 8D ,42
MLO100310,Tower Hamlets,Borough,00 00 00 00 00 13 09 8E ,43
MLO100311,River Thames,Borough,00 00 00 00 00 13 20 C2 ,5960
